QUALIFIER	NR_NC filter	qt_cluster 200	PC-6	3C	PC32	0	23	41	53	66
194006_at	1	NC	5	5	4	4	5	4	6	6
194005_s_at	1	8	52	81	87	38	88	60	125	101
194004_at	1	NC	5	4	4	4	5	4	5	5
194003_s_at	1	4	32	24	24	27	15	14	13	8
194002_at	1	NC	9	8	9	6	9	7	9	6
194001_s_at	1	NC	6	4	5	4	5	5	6	6
194000_at	1	NC	5	4	4	4	5	4	5	5
193999_at	1	2	8	5	6	7	8	5	8	7
193998_at	1	NC	5	5	6	4	5	4	6	5
193997_at	1	NC	5	4	4	4	6	5	8	7
193996_at	1	NC	5	5	5	4	6	4	6	6
193995_s_at	1	NC	5	4	5	4	5	4	5	5
193994_at	1	NC	7	7	6	4	6	6	7	6
193993_s_at	1	2	6	6	5	5	6	6	11	9
193992_s_at	1	NC	27	23	26	16	22	13	13	10
193991_at	1	NC	6	4	5	4	5	4	6	5
193990_s_at	1	NC	5	6	5	4	5	4	5	5
193989_at	1	NC	5	6	5	5	6	5	6	6
193988_at	1	NC	40	38	38	30	44	42	47	58
193987_s_at	1	6	60	28	53	84	63	33	33	23
193986_s_at	1	4	15	11	13	11	16	15	25	22
193985_at	1	NC	5	4	4	4	5	4	5	5
193984_s_at	1	NC	132	94	99	207	105	84	127	98
193983_at	1	2	10	7	7	9	16	19	34	29
193982_at	1	NC	5	5	5	5	5	4	7	7
193981_s_at	0	NC	6	5	7	6	10	6	8	7
193980_at	1	NC	6	5	5	4	6	5	6	6
193979_s_at	1	NC	6	6	5	5	6	5	6	7
193978_at	1	NC	6	5	4	4	6	4	5	6
193977_s_at	1	NC	5	6	5	4	6	5	6	7
193976_s_at	1	3	55	53	60	63	66	66	56	55
193975_at	1	NC	5	5	5	4	5	5	5	5
193974_s_at	1	NC	7	7	6	6	7	6	7	7
193973_at	1	NC	6	5	5	4	5	4	5	6
193972_at	1	NC	5	4	4	4	5	5	6	6
193971_at	1	NC	5	4	4	4	5	4	5	5
193970_s_at	1	NC	9	13	15	22	22	32	29	23
193969_s_at	1	NC	7	6	7	6	9	11	10	15
193968_at	1	NC	5	4	4	4	5	4	5	5
193967_at	1	NC	6	7	5	6	8	6	8	8
193966_s_at	1	NC	5	6	6	5	6	5	5	6
193965_s_at	0	NC	5	4	5	4	5	4	5	5
193964_at	1	NC	5	4	4	4	5	4	6	5
193963_s_at	0	NC	5	5	4	4	6	5	9	11
193962_at	1	2	7	8	6	6	6	6	8	9
193961_at	1	NC	5	4	4	4	5	4	5	5
193960_s_at	0	NC	19	17	26	24	31	16	8	7
193959_at	1	1	71	73	74	60	75	46	18	13
193958_at	1	NC	6	5	5	4	6	5	6	7
193957_s_at	1	2	6	5	6	5	6	5	6	9
193956_at	1	7	29	29	38	28	88	119	137	86
193955_s_at	1	NC	5	5	5	5	5	4	7	6
193954_at	1	NC	5	4	4	4	5	4	5	5
193953_s_at	1	NC	5	4	4	4	5	4	5	5
193952_at	1	NC	6	7	7	5	7	6	8	7
193951_at	1	NC	13	9	8	6	10	7	14	11
193950_s_at	1	NC	5	5	5	4	5	5	6	6
193949_s_at	1	NC	11	8	13	6	15	9	22	10
193948_s_at	1	NC	11	8	10	14	22	12	9	7
193947_s_at	1	NC	8	6	7	5	6	6	9	8
193946_s_at	1	NC	12	7	19	9	17	6	8	5
193945_at	1	5	6	5	5	5	8	11	24	23
193944_at	1	23	151	169	138	300	67	103	55	88
193943_at	1	1	55	27	38	165	88	68	39	28
193942_s_at	1	35	86	58	60	87	60	31	35	26
193941_at	1	13	215	121	137	132	87	34	22	27
193940_s_at	1	NC	20	13	34	12	36	19	20	11
193939_at	1	NC	464	371	585	362	547	528	640	502
193938_s_at	1	NC	32	30	25	51	37	37	43	35
193937_s_at	1	12	5	4	4	4	5	4	6	5
193936_at	1	NC	6	6	6	4	6	5	6	6
193935_at	1	NC	138	186	162	150	157	217	133	134
193934_s_at	1	NC	7	6	6	7	6	5	5	5
193933_at	1	NC	5	4	4	4	5	5	5	5
