	Nishimura	Hashimshony	Tintori
fox-1	4.96937803501301	5.7628693206781	5.46732489265903
F35F10.14	4.11762926987675	0	0
F08D12.1	4.22503366936181	6.64129847511461	5.30384094389014
smu-1	6.67581137749042	6.32802746834114	7.77137409776659
efk-1	5.86790627060618	6.32058481045537	7.03328131740596
F13H8.12	1.67946169181114	0	0
odr-4	6.19912350076003	6.29966557040681	6.84672082635092
F21D5.6	7.67615466374418	7.9395680882843	7.96146485461086
ooc-5	7.83767249810138	7.31520429486131	8.49047698891549
ubq-1	11.0578981160518	9.1601684171516	9.57012579376026
wsp-1	5.60956044669485	6.38621550312403	6.48912701071593
gck-1	3.27101550880305	1.38157394539073	5.61955432217302
Y71A12B.11	1.69107727700516	0	0
nxt-1	8.2628641536084	9.91698316743036	8.4801995810243
C36C9.1	6.44033553642132	5.40343858704794	6.69365912696838
R08B4.3	5.13041125897527	5.66535553962408	7.12310895981716
arrd-20	3.16345027946684	0	0
zen-4	7.94436418021609	7.13362552872068	8.17528547852909
nol-10	7.30516668050048	6.99474027989075	7.98663140922763
F29G9.2	8.59458366862735	7.99500012556486	8.7262992989179
mat-3	6.3973015512073	4.84694984580587	5.80142318700354
Y116F11B.13	2.23689387155769	0	0
R05D11.9	7.52022052991922	7.4689346204398	8.06728925120376
Y71H2AM.24	5.58176077638434	4.75921888714502	5.7251574945889
gbf-1	3.65032749499911	1.67365840106055	3.83648605877663
mcm-7	9.76229830119578	9.07701952901461	9.03121258341893
pqe-1	6.58486972278166	5.89488821460339	6.71870290532118
fkh-4	5.32814541523647	5.13024914894745	4.25359800930919
lin-49	4.45229299786984	3.85664905537921	4.86742361829997
mps-1	1.71503499969896	0	0
ten-1	3.58255700080035	2.93181181643883	5.96303522136419
W08G11.3	3.56839555143101	4.90465114988915	4.88362000773357
unc-83	2.95411571254823	2.87828115004502	3.17602280844349
rsd-6	6.96964995801159	5.74700755855972	8.08125693809934
Y71A12B.12	4.7414646653707	3.06603291383422	5.10478984109695
Y32B12B.2	5.8443232686926	5.70810439089098	8.19738795610118
ZK287.3	1.7258680394884	0	0
K04G7.1	7.44583459474027	7.08781437331028	8.27504798158893
bath-38	5.18036256579673	4.82500258605369	6.98815792276295
F49C12.10	2.45663498739208	3.14557285781088	3.2132642335895
B0491.6	5.61244755480601	4.59276970837816	7.41825047320586
F31A3.5	3.98085151554302	2.96517789576297	4.88685525733676
C29F5.5	1.74556546164727	0	0
lin-15A	5.63165845752166	4.10619439058678	6.09240997793153
VM106R.1	4.05783173287543	0	0
W07G4.3	3.5924319253354	4.62030339682903	5.70334894917142
F10G7.10	5.05061886699456	3.07894152463138	4.8183772795187
tag-63	4.18831563267852	1.62069332478067	6.27570284397627
spe-15	2.45360383116364	1.85917473372052	2.07068469949407
F32D1.11	2.43457130522703	2.75664675517914	5.72410625644549
Y82E9BR.2	4.32445081789858	3.81714540644783	2.31835012262873
F23D12.10	2.42873335740564	1.82418229707422	2.37573149453627
F25H2.12	3.38545346111033	3.432485529782	4.92999169130333
F56C9.7	4.00905253125502	5.37952437413493	0
E01G4.5	2.45091581252795	1.63349004841897	4.08418582285089
Y119C1B.5	4.97881594782765	4.26032727514311	6.01088568032279
lin-9	5.31404962265093	5.22222402115753	6.61721027618145
btb-11	2.38126402093099	1.45059057605152	0
C56G2.4	2.39886609760177	1.43642898221106	2.49622049656529
Y54G2A.49	2.06924976444222	0	0
clec-82	2.07918256497683	0	0
Y106G6E.4	3.38359967329945	4.3709486405329	5.0101815062377
tra-2	5.56734597275382	3.90698090774953	5.98222620832931
K06H7.2	3.38361828798692	2.77816382174971	4.29580509687002
zyg-1	6.73650418811913	5.80980003704497	7.39082036727824
gip-2	5.26661845714905	6.20893425054425	7.23149546179908
hmg-11	2.78896912773932	0	0
sma-6	2.45333647612358	1.61488465144195	3.61069555925021
lin-40	5.94949059750457	5.79584682364225	5.69509001688685
abcf-1	7.28818322142043	7.24731606022043	7.85213424665443
Y48A6C.1	3.90241305685574	2.22524256666281	0
mspn-1	6.63087658025327	7.3485501944788	8.18046183012727
D2045.2	5.3291738361695	3.61860449387263	3.77616643299816
B0212.3	5.55384674245042	3.90272734865294	5.45199346896624
lrp-2	2.42740229505339	1.51717168020518	2.57736841542708
F23F1.5	4.96664698202929	2.37034586286284	7.82495342565394
nhr-237	2.49729627347385	2.41435468237841	2.60487924258833
C25A11.1	4.91672769781208	0	0
Y54G2A.48	2.12791959204441	0	0
F15B9.10	5.54907805682403	5.66333066453826	5.89171481669878
ZK1127.4	5.98508870201066	6.59359368217334	7.68192020255493
Y54G2A.45	2.1494882415173	0	0
R05D11.6	7.04427907124211	6.67965828767212	7.24192354669539
scrm-3	3.4380394201358	1.51682173459021	0
C02F5.13	6.76919959515021	7.62137967892209	7.11959707866621
ztf-17	5.22270154595514	5.07144154126026	6.75995309222201
cee-1	7.37927120141423	7.04231879452222	7.7820329650897
F25B5.5	5.23157624026655	3.7274525055886	6.0454005674296
skr-16	5.63350034412999	6.42964382905489	6.50486885952798
Y73B6BL.28	2.42662761588164	3.11885886088491	0
Y111B2A.10	4.14759255093469	2.77449116942637	7.31219583073864
brd-1	5.93134180845139	4.76092497352801	7.07442214072002
dom-3	5.87070860961292	5.63459266371204	5.90239984753191
spd-3	4.0518824992942	4.67886610616339	6.06727301325191
F23H11.6	3.14760152371787	0	0
T12E12.2	5.52106213734464	4.22814336406351	6.04443305829057
K01G5.9	6.82625750803564	5.66193030422943	7.3420555363477
mel-46	5.22668814693787	5.92131055279133	5.57706771016576
tufm-2	6.87465624401035	6.35113821500363	7.72295371565279
F35H12.4	5.09956087430468	4.82667835819264	5.9554515977096
pqn-65	6.05567089683467	3.98234606445631	7.12418171112866
sys-1	3.39648245367146	3.49933298050808	4.95990109513667
acl-4	5.782572550698	4.37872498748798	7.36062488931629
K03E6.7	3.95078961497413	3.82663266080414	5.12311654477893
zfp-1	5.17985554641175	3.64495253986529	6.52569749455599
gly-14	2.4831976239806	2.63335278093949	3.63269561297285
F08G2.7	3.78483689961001	3.01087364696744	4.4391457201856
C01G5.5	6.32382420617691	6.82803530358355	6.86012539824118
F46E10.2	3.30051158270734	2.36422232226078	4.05753499130995
nasp-1	8.82168870827304	7.12770244872258	8.24962339993814
Y34F4.1	2.86317786413165	0	0
C11D2.4	6.8181889794455	7.30753761145697	7.51817797183001
sea-1	6.74347530930273	6.40772954043749	7.22294885791315
C17B7.5	3.43067577117378	0	0
kin-25	4.28228185776959	3.64247172409499	4.66611220669961
Y17G9B.5	6.80187505114362	6.54427340625612	7.62462263256612
par-1	3.35872880025979	3.44125317466166	5.10784188065615
F31C3.4	8.25086715237422	9.64276958936284	8.34603113452194
D2089.2	4.67116509317047	0	0
Y39B6A.40	4.57361886676884	5.7723128149257	7.91447507372422
str-63	2.39562479099576	0	0
taf-5	6.63879277378817	5.74854116918381	7.85965591998763
K09H9.7	5.01842358195125	7.37154342089322	0
ZK546.5	5.92201106544626	6.18658422416491	7.3881854405997
Y43H11AL.2	4.02311307331398	3.61888273844122	3.8710983677514
M106.4	5.80212043047992	5.94424847568873	6.8761629335077
D2007.2	2.74801676187097	0	3.08607298179663
F54D11.2	3.82794531868891	3.70717144358927	4.47359263491799
B0205.1	6.27746663553018	6.65742704537591	7.20646298642737
F28D1.2	5.02364731326001	4.62509784325821	6.00209480398453
K08F11.5	6.5052657696702	6.2976282000646	6.51407039011431
F56F11.4	7.39195639290055	7.68247129555805	7.54686057149583
R06B10.1	2.42415674437584	0	0
R06B10.7	2.42046916431039	0	0
Y73C8B.2	5.22977708337122	5.30461701716478	5.23239246257838
F27C1.2	8.50744890575918	7.22559986088612	7.9268065377752
Y54G2A.15	2.44082489754334	0	0
fbxa-54	2.43912220205009	0	0
fbxa-22	2.4398490802213	0	0
