Probe Set ID	Gene Symbol	Ensembl
172415_x_at	---	---
172416_x_at	---	B0391.10
172417_x_at	nspb-3 /// nspb-2	F38A5.12 /// F38A5.5
172418_x_at	---	F47B3.4 /// F47B3.5
172419_x_at	---	K03F8.1
172420_x_at	---	C24A3.8
172421_x_at	---	B0554.1
172422_x_at	---	K10D6.2
172423_x_at	---	C07D8.2
172424_x_at	---	T15B7.6
172425_x_at	cyp-42A1	Y80D3A.5
172426_x_at	---	F20A1.1
172427_x_at	nlp-28	B0213.3
172428_x_at	---	F08F1.9
172429_x_at	---	F52E10.4
172430_x_at	---	---
172431_x_at	nspa-3 /// nspa-8 /// nspa-5 /// nspa-1 /// nspa-2 /// nspa-4	W06A7.5 /// ZC412.6 /// ZC412.7 /// H12D21.13 /// H12D21.1 /// H12D21.12
172432_x_at	---	D2024.10 /// AH10.4
172433_x_at	---	F40E3.3
172434_at	---	F53B3.5
172435_x_at	math-16	C16C4.8
172436_x_at	---	C04F12.6
172437_x_at	cnc-2	R09B5.3
172438_x_at	---	---
172439_x_at	cnc-1	R09B5.2
172440_x_at	---	F46F5.6
172441_x_at	---	---
172442_x_at	pqn-90 /// pqn-91	Y73F8A.8 /// Y73F8A.9
172443_x_at	pqn-90 /// pqn-91	Y73F8A.8 /// Y73F8A.9
172444_x_at	---	F29C4.4
172445_x_at	---	F20B6.7
172446_x_at	---	T16A1.5
172447_at	---	M03D4.3
172448_x_at	---	C29F9.4
172449_x_at	---	---
172450_x_at	---	---
172451_x_at	---	Y38F2AL.6 /// C32H11.7 /// W05H7.2
172452_x_at	---	F29D10.2
172453_x_at	---	Y39B6A.30
172454_x_at	---	F18E9.6
172455_x_at	---	F29G6.3
172456_x_at	---	ZC178.1
172457_x_at	---	---
172458_at	---	B0554.3
172459_at	---	---
172460_x_at	---	F46F5.9
172461_x_at	---	K09C4.2
172462_x_at	---	F07C6.4
172463_x_at	---	Y17G7B.2
172464_x_at	---	F54D12.4
172465_x_at	---	---
172466_x_at	math-19	C40D2.1
172467_x_at	---	C34G6.3
172468_x_at	---	K01A2.8 /// K01A2.9
172469_x_at	nspb-10	C01G12.6
172470_x_at	---	---
172471_x_at	---	ZC178.2
172472_x_at	col-144 /// col-10	B0222.6 /// B0222.8
172473_at	---	F28F5.4
172474_x_at	nspb-11	F35C5.10
172475_x_at	col-145	B0222.7
172476_x_at	---	R07E5.15
172477_x_at	---	K01D12.15 /// K01D12.7
172478_x_at	math-50	ZK250.8
172479_x_at	---	F46F5.8
172480_x_at	---	C41D7.1
172481_x_at	---	C08F1.4
172482_x_at	---	Y53F4A.2
172483_x_at	---	F02D10.2
172484_x_at	---	F22D3.5 /// C29F9.12 /// C52B11.4
172485_x_at	---	---
172486_x_at	nspd-4	T23B7.1
172487_x_at	---	---
172488_x_at	---	F09C11.1
172489_x_at	---	K08H10.2
172490_at	---	F39F10.4
172491_x_at	---	---
172492_at	---	C46H11.1
